,선행종합지수(2020=100),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),〔순환변동치 전월차〕(p),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p)
2003.01,53.7,0,0,0,0,0,0,0,-0.1,2.9,-0.8,57.8,0.2,0,0,0,0,0,0,0,-0.2,0,0,0,0,0
2003.02,53.7,-0.6,-1.3,-1.3,-1.8,0.5,-1.6,-0.15,-0.3,2.2,-0.7,57.8,0,0.2,1,-0.5,-1.7,-1.1,-0.3,-0.1,-0.4,1.7,0.2,-1.3,-0.2,0.1
2003.03,53.8,-0.9,-1.6,-1.4,-2.2,0.5,-0.7,-0.12,-0.2,1.6,-0.6,57.8,0,0.2,1,-0.2,-1,-0.8,-0.4,0,-0.3,1.4,0.2,-1.1,-0.1,0.1
2003.04,53.7,-4.4,-1,-1.5,-1.5,0.4,-2.5,-0.11,-0.4,0.8,-0.8,57.6,-0.3,0.2,0.8,-0.7,-2.7,-1.2,-0.3,-0.1,-0.6,2.1,0.3,-1.5,-0.2,0.1
2003.05,53.7,-2.3,-2.1,-1,-2.9,0.6,1.3,-0.08,-0.2,0.4,-0.4,57.8,0.3,0,1.1,0.3,0.8,-0.6,-0.4,0,0,0.9,0.1,-0.6,-0.1,0.1
2003.06,54.1,1.8,0.2,-0.1,15.6,0.3,6.4,-0.17,0.3,0.7,0.3,58,0.3,0.4,0.6,2.3,0.2,0.1,-0.1,0.1,0,0.7,0.1,1.4,0,-0.1
2003.07,54.2,-0.2,-1.8,-2.9,7.4,-0.4,6.3,0.09,0,0.8,0.1,58.1,0.2,-0.8,0,2.3,0.8,-1.4,-1,0.3,0,0,0,1.6,0.2,-0.2
2003.08,54.7,1.6,1,-0.8,10.1,-0.3,6,0.28,0.4,1.5,0.7,58.3,0.3,1.2,0.3,1.2,0.3,-0.1,-0.7,0.2,0,0.7,0,2,0.1,-0.3
2003.09,54.9,-0.2,2,0.1,-6.1,0,3.8,0.18,0.1,2,0.5,58.5,0.3,0.6,0,-1.4,0.6,0.4,1.2,0.1,0,-0.2,0,1,0.1,-0.2
2003.1,55.3,3.4,2.1,1.9,-2,-0.5,2.4,0.15,0.4,2.9,0.9,58.9,0.7,3,-0.2,0.3,0.3,2.7,1.9,0.1,0.4,-0.7,-0.1,4,0.1,-0.1
2003.11,55.5,1.5,1.3,0.2,-15,-0.5,2.6,0.04,0,3.3,0.4,59.1,0.3,1.3,0,-0.2,0.3,0.8,0.9,0.2,0.1,-0.9,-0.1,4,0.2,0
2003.12,55.7,1.2,1.2,-1.3,-7,-0.7,2.6,0.21,0,3.7,0.4,59.5,0.7,1.6,-1,3.1,-0.6,1,2,0.4,0.3,-0.4,-0.1,4.9,0.4,0.1
2004.01,56,1.3,2.4,0.5,-5.3,-0.1,3.8,0.04,0.2,4.2,0.5,59.8,0.5,0.5,-0.2,1.4,0.5,0.4,1.5,0.5,0.3,0,-0.1,1.9,0.6,0.1
2004.02,56.3,2.5,1.3,0.2,2.5,-0.3,3.2,0.02,0.3,4.6,0.4,60.3,0.8,2.1,0,0.4,0.3,1.2,1.7,0.6,0.5,1.4,0,-0.3,0.7,0
2004.03,56.5,1.5,0.9,0,-2.2,-0.7,3,-0.08,0,4.8,0.2,60.6,0.5,0.9,1.1,-0.7,-0.2,-0.4,1.3,0.4,0.2,1.3,-0.1,2.4,0.5,-0.1
2004.04,56.7,2.1,0.7,0,-2.9,-0.7,2.4,-0.08,0.1,4.8,0,60.8,0.3,1.4,0.5,-0.4,-1,0.1,1.2,0.1,0,0.9,-0.2,1.7,0.1,-0.1
2004.05,56.7,1,-2.6,-0.5,-2.8,-0.7,-2.6,-0.13,-0.4,4.5,-0.3,60.8,0,0.3,0.2,0.3,-1.1,-1.1,1,-0.1,-0.4,0.4,-0.3,0.1,-0.3,-0.1
2004.06,56.7,-0.2,-3,0.2,-3.2,-0.1,-4,-0.1,-0.3,4.1,-0.4,60.9,0.2,-0.2,0.2,-1.8,1.3,-0.5,0.3,0,-0.2,0.2,-0.2,-7.3,-0.2,-0.1
2004.07,56.6,-0.6,-4.3,-0.8,11.3,-0.2,-6.5,-0.14,-0.4,3.6,-0.5,60.8,-0.2,-0.9,-0.6,-0.1,0.6,-1.1,-0.2,0,-0.4,0.4,0.1,-6.2,-0.1,0
2004.08,56.6,-1.8,-1,-0.4,-1.3,-0.2,-1.2,-0.19,-0.3,3.2,-0.4,60.7,-0.2,-0.9,-0.5,0.5,0,-0.3,-0.8,0,-0.5,0.4,0.1,-5.2,-0.1,-0.1
2004.09,56.7,-0.8,0.4,-0.9,0.7,0.3,2.8,-0.2,-0.1,3,-0.2,60.9,0.3,0.5,-0.3,2.4,0,0.1,-1.3,0.3,-0.1,0.4,0.1,-0.7,0.2,-0.1
2004.1,56.9,-3.1,0,0.4,8,-0.1,4.4,-0.19,0,2.8,-0.2,61,0.2,0.9,0.2,-0.5,-0.5,0.3,0.3,0.2,-0.1,0.2,0,0,0.3,-0.1
2004.11,57,-1.9,-1.4,-1.1,-0.1,0.1,3.8,-0.07,-0.2,2.5,-0.3,61.2,0.3,1,0.3,-2.4,0.3,0.1,0,0.3,-0.1,0.6,0,-2.1,0.3,-0.1
2004.12,57.1,-2.9,-2.5,-0.2,13.2,-0.6,1.5,-0.04,-0.1,2.3,-0.2,61.2,0,0,-0.6,-2.2,-0.3,0.1,0.7,0,-0.5,1.3,0.1,-1.7,0.2,-0.1
2005.01,57.2,-1.5,0,-0.6,-9.3,-0.6,2.1,0.16,-0.2,2.1,-0.2,61.4,0.3,1.9,0.5,-0.7,-0.2,0.7,-0.2,0,-0.1,1.9,0,-1.5,0,0
2005.02,57.5,-2,5.4,0.5,-5.3,-1.1,3.8,0.34,0.3,2.4,0.3,61.4,0,0,1,-0.6,0.3,0,-1.7,0.1,-0.3,0.8,-0.1,-1,0.1,0.1
2005.03,57.9,1.7,6.9,0.2,7.3,-1.8,4.2,0.31,0.5,3,0.6,61.8,0.7,1.3,1.4,1.4,0,0.4,0.3,0.1,0.2,0.4,-0.2,0.9,0,0.1
2005.04,58.1,-1,5,0.1,-1.7,-2,1.8,0.08,0,3,0,61.9,0.2,-0.7,0.2,1.9,1,-0.5,-1.1,0,-0.3,1,-0.2,-0.6,0,0
2005.05,58.1,-0.6,-1.4,-0.1,16.9,-1.8,-0.9,-0.2,-0.3,2.9,-0.1,62.1,0.3,0,0.2,3.8,0.6,0.1,0.4,0,-0.1,1,-0.1,4,0,0
2005.06,58.1,0.4,-2.9,0,-8.6,-1.3,0.1,-0.12,-0.4,2.6,-0.3,62.3,0.3,-0.5,0.5,1,0.5,0.3,0.9,0,-0.1,0,-0.1,1.1,-0.1,0
2005.07,58.4,2.1,-3.8,1.5,5.9,-0.8,3.6,0.1,0.2,2.9,0.3,62.5,0.3,0.5,0.6,-0.3,0.5,1.2,-0.4,0.1,-0.1,-0.6,-0.1,2,0,0
